Teste,CVEs,Data,Tipo Falha,CVSS(Score Severidade),Severidade,Documentacao Publica(baseado em quantidade de resultados no google x 1000),Correcao_Gemini%,Correcao_DeepSeekV3%,Correcao_DeepSeekR1%,Tempo_Gemini_Segundos,Tempo_DeepSeekV3_Segundos,Tempo_DeepSeekR1_Segundos,Correcao Individual/Agregada
1vt_tls,CVE-2011-3389,2011,Criptografia Fraca / TLS,4.3,media,52,95.0,95.0,95.0,4.9,6.8,109.4,Agregada
1vt_tls,CVE-2015-0204,2015,Criptografia Fraca / TLS,4.3,media,33,95.0,95.0,95.0,4.9,6.8,109.4,Agregada
1vt_tls,CVE-2023-41928,2023,Remote Code Injection / RCE,5.3,media,9,95.0,95.0,95.0,4.9,6.8,109.4,Agregada
1vt_tls,CVE-2024-41270,2024,Path Traversal,9.1,critico,8,95.0,95.0,95.0,4.9,6.8,109.4,Agregada
1vt_tls,CVE-2025-3200,2025,Criptografia Fraca / TLS,9.1,critico,213,95.0,95.0,95.0,4.9,6.8,109.4,Agregada
1vt_twikixss,CVE-2008-5304,2008,	Cross‑Site Scripting (XSS),4.3,media,23,90.0,100.0,100.0,7.6,7.2,121.1,Agregada
1vt_twikixss,CVE-2008-5305,2008,	Cross‑Site Scripting (XSS),10,critico,23,90.0,100.0,100.0,7.6,7.2,121.1,Agregada
1vt_http,-,,,,,,100.0,100.0,100.0,05.04,11.7,147.36,Individual
1vt_endoflife,-,,,,,,33.25,0.0,49.0,4.9,4.7,129.0,Individual
1vt_apache,CVE-2012-0053,2012,Buffer Overflow / RCE,4.3,media,17,90.0,70.0,100.0,3.6791,6.5403,139.9,Individual
1vt_jquery,CVE-2012-6708,2012,Cross‑Site Scripting (XSS),6.1,media,17,40.0,90.0,100.0,3.78,4.97,184.5,Individual
1vt_php,CVE-2012-2311,2012,Remote Code Injection / RCE,5.0,media,39,75.0,60.0,70.0,4.9,12.45,158.12,Agregada
1vt_php,CVE-2012-2336,2012,Remote Code Injection / RCE,5.0,media,32,75.0,60.0,70.0,4.9,12.45,158.12,Agregada
1vt_php,CVE-2012-2335,2012,Remote Code Injection / RCE,7.5,alto,52,75.0,60.0,70.0,4.9,12.45,158.12,Agregada
1vt_php,CVE-2012-1823,2012,Remote Code Injection / RCE,9.8,critico,149,75.0,60.0,70.0,4.9,12.45,158.12,Agregada
1vt_python,CVE-2024-7592,2012,ReDoS / Parsing / regex,7.5,alto,20,50.0,0.0,80.0,5.79,4.1,142.9,Agregada
1vt_python,CVE-2024-8088,2024,ReDoS / Parsing / regex,8.7,critico,33,50.0,0.0,80.0,5.79,4.1,142.9,Agregada
1vt_python,CVE-2024-45490,2024,ReDoS / Parsing / regex,7.5,alto,9,50.0,0.0,80.0,5.79,4.1,142.9,Agregada
1vt_python,CVE-2024-45491,2024,ReDoS / Parsing / regex,7.3,alto,8,50.0,0.0,80.0,5.79,4.1,142.9,Agregada
1vt_python,CVE-2024-45492,2024,ReDoS / Parsing / regex,7.3,alto,9,50.0,0.0,80.0,5.79,4.1,142.9,Agregada
1vt_python,CVE-2024-6232,2024,ReDoS / Parsing / regex,7.5,alto,22,50.0,0.0,80.0,5.79,4.1,142.9,Agregada
1vt_rexec,CVE-1999-0618,1999,Insecure Service/Acess Control,10,critico,15,100.0,100.0,90.0,3.5385,4.5416,248.4,Individual
1vt_weak_ssh,-,,,,,,70.0,70.0,90.0,3.3642,5.6713,244.0,Individual
,,,,,,,,,,,,,
